# Start at 2020-03-10 10:20:36.008281
# EA  EB  tA  tB
# 
63.257 0.408 109.905 361.025
61.470 2.194 109.974 11.904
109.019 0.753 113.150 15.031
34.822 0.000 97.946 0.000
30.439 0.000 92.997 0.000
44.653 0.000 107.187 0.000
45.101 0.000 108.524 0.000
25.408 0.000 76.705 0.000
339.912 0.000 116.571 0.000
82.412 213.651 111.610 111.434
148.632 0.000 114.607 9.586
25.707 2.925 78.418 13.183
134.719 1.890 115.236 12.338
28.961 2.587 89.970 13.030
52.031 215.741 110.335 110.719
25.907 2.612 83.384 132.000
64.214 0.000 109.831 9.586
116.920 1.988 114.383 11.084
133.350 72.005 114.491 114.556
83.178 1.750 112.675 13.092
85.838 0.000 113.370 9.586
137.180 224.825 116.128 116.295
36.400 0.936 94.911 52.000
322.296 0.000 117.489 9.586
35.558 0.495 97.792 438.000
146.503 1.463 116.111 14.053
36.814 1.305 97.921 8.837
32.439 64.466 93.222 99.546
26.352 0.000 82.424 9.586
389.190 0.000 117.667 9.586
335.135 0.000 116.638 9.586
47.454 0.000 103.833 9.586
44.768 0.251 103.253 493.000
58.395 1.469 109.118 13.099
34.487 1.576 93.104 9.220
29.150 0.739 82.219 8.032
59.554 0.980 109.182 16.030
66.438 0.000 109.372 0.000
137.725 28.734 115.470 114.999
62.365 0.497 109.541 161.000
55.149 0.261 108.308 83.000
336.544 1.494 117.281 13.032
139.296 11.939 114.857 116.194
57.740 0.950 102.536 45.000
43.777 1.233 92.376 10.339
143.819 81.350 113.515 114.828
107.332 0.000 111.580 0.000
91.666 106.255 111.999 112.630
71.322 0.500 109.627 139.000
75.149 0.000 111.687 9.586
28.262 0.252 68.997 169.000
42.163 131.357 102.698 102.681
137.598 3.378 114.875 236.000
134.979 0.481 114.301 233.025
51.226 1.717 106.799 11.291
57.092 0.000 107.412 9.586
33.035 0.252 97.873 78.000
133.997 29.157 115.164 115.999
34.624 1.272 94.769 28.112
263.520 0.252 116.212 233.000
123.012 0.000 114.036 0.000
62.081 0.000 109.154 0.000
314.745 0.000 117.432 0.000
139.604 0.000 115.013 0.000
94.578 0.000 112.077 0.000
278.330 0.000 117.321 0.000
40.662 0.000 103.254 0.000
39.140 131.663 98.569 101.140
78.575 1.662 112.034 17.030
30.252 217.240 89.214 90.998
37.547 1.490 102.542 26.260
31.478 0.252 94.972 92.000
334.463 0.000 117.601 9.586
33.698 1.489 94.275 27.017
139.728 1.998 114.706 32.022
85.262 0.000 111.645 9.586
27.021 1.446 66.348 11.917
70.791 1.498 109.630 10.357
44.324 0.960 104.169 27.015
133.274 2.135 114.398 12.234
65.998 1.258 110.285 12.030
91.097 0.747 112.935 8.032
137.956 142.985 115.414 115.758
65.897 2.565 111.733 284.000
30.535 5.806 89.451 0.000
75.744 0.252 111.857 59.000
46.465 2.000 104.530 11.417
242.926 0.000 116.806 9.586
151.721 0.000 114.358 9.586
